timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-08-01T00:00:00.000Z";"2023-08-31T23:59:59.999Z";"2023-08-08T21:22:00.000Z";"2023-08-17T21:45:00.000Z";29230.8724049903;30176.7962374838;25409.1116027686;25931.4728933574;437724169499.52;504957555550.64;"2023-08-31T23:59:59.999Z"
"2023-07-01T00:00:00.000Z";"2023-07-31T23:59:59.999Z";"2023-07-13T19:32:00.000Z";"2023-07-24T15:11:00.000Z";30471.8475630488;31814.5148120678;28934.2941602457;29230.110878649;382224489087.03;568365621732.67;"2023-07-31T23:59:59.999Z"
"2023-06-01T00:00:00.000Z";"2023-06-30T23:59:59.999Z";"2023-06-23T16:15:00.000Z";"2023-06-15T11:18:00.000Z";27218.4123755644;31389.5381281357;24797.1678486154;30477.2512822446;481734214225.81;591758288455.82;"2023-06-30T23:59:59.999Z"
"2023-05-01T00:00:00.000Z";"2023-05-31T23:59:59.999Z";"2023-05-06T00:38:00.000Z";"2023-05-12T19:29:00.000Z";29227.1039819099;29820.1266220765;25878.428829536;27219.6586081109;443473015482.63;527773175252.01;"2023-05-31T23:59:59.999Z"
"2023-04-01T00:00:00.000Z";"2023-04-30T23:59:59.999Z";"2023-04-14T06:54:00.000Z";"2023-04-24T16:56:00.000Z";28473.3318011971;31005.6080444729;27070.8494995525;29268.8070431626;14652199272.27;566661285145.37;"2023-04-30T23:59:59.999Z"
"2023-03-01T00:00:00.000Z";"2023-03-31T23:59:59.999Z";"2023-03-30T02:41:00.000Z";"2023-03-10T11:25:00.000Z";23150.9299581785;29159.9026178662;19628.2543094205;28478.4846056804;19001327597.88;550593053896.62;"2023-03-31T23:59:59.999Z"
"2023-02-01T00:00:00.000Z";"2023-02-28T23:59:59.999Z";"2023-02-16T16:06:00.000Z";"2023-02-13T17:57:00.000Z";23137.8351361505;25134.1173501961;21460.0885038644;23147.3533899085;20535363433.98;446846764116.35;"2023-02-28T23:59:59.999Z"
"2023-01-01T00:00:00.000Z";"2023-01-31T23:59:59.999Z";"2023-01-29T19:49:00.000Z";"2023-01-01T09:10:00.000Z";16547.9143978715;23919.8897614092;16521.233430529;23139.2839099123;22837828665.18;446082285297.19;"2023-01-31T23:59:59.999Z"
"2022-12-01T00:00:00.000Z";"2022-12-31T23:59:59.999Z";"2022-12-14T18:58:00.000Z";"2022-12-19T22:37:00.000Z";17168.0021376253;18318.530584361;16398.1362516753;16547.4953660162;11239186456.23;318516317872.25;"2022-12-31T23:59:59.999Z"
"2022-11-01T00:00:00.000Z";"2022-11-30T23:59:59.999Z";"2022-11-05T04:22:00.000Z";"2022-11-21T21:53:00.000Z";20494.8976229392;21446.8860966908;15599.0471753829;17168.5655484864;29523576583.08;329997633644.39;"2022-11-30T23:59:59.999Z"
"2022-10-01T00:00:00.000Z";"2022-10-31T23:59:59.999Z";"2022-10-29T10:24:00.000Z";"2022-10-13T13:20:00.000Z";19431.1049459172;20988.3944704236;18319.8226296141;20495.7742320325;45668466815.41;393413045572.67;"2022-10-31T23:59:59.999Z"
